"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"nieder";"Breite";"Lange"
"BARGISCHOW-GNEVEZIN";3;"53°50'";"13°45'";552.5;53.83;13.75
"BARGTEHEIDE";45;"53°44'";"10°15'";782.2;53.73;10.25
"BARNEBERG";143;"52°07'";"11°04'";573.1;52.12;11.07
"BARNIN";42;"53°35'";"11°41'";602.6;53.58;11.68
"BARNSTORF";39;"52°43'";"08°29'";732.3;52.72;8.48
"BARSINGHAUSEN";114;"52°18'";"09°28'";783.3;52.3;9.47
"BARSINGHAUSEN-STEMMEN";68;"52°20'";"09°31'";610.5;52.33;9.52
"BARSSEL-LOHER OSTMARK";2;"53°10'";"07°47'";769.0;53.17;7.78
"BARTENSHAGEN-PARKENTIN";22;"54°04'";"11°58'";603.5;54.07;11.97
"BARTH (AWST)";7;"54°20'";"12°43'";623.0;54.33;12.72
"BARTHOLOMAE";642;"48°45'";"09°59'";1174.8;48.75;9.98
"BARUTH (AWST)";55;"52°03'";"13°30'";537.6;52.05;13.5
"BASDAHL-VOLKMARST";27;"53°25'";"08°57'";806.5;53.42;8.95
"BASSENHEIM";170;"50°21'";"07°27'";645.7;50.35;7.45
"BASSUM";40;"52°51'";"08°41'";685.8;52.85;8.68
"BASSUM (A)";36;"52°50'";"08°43'";736.0;52.83;8.72
"BASTHEIM-SIMONSHOF";312;"50°24'";"10°10'";691.7;50.4;10.17
"BATTENBERG-BERGHOFEN";328;"51°00'";"08°40'";833.1;51;8.67
"BATTENBERG-HOF KARLSBURG";590;"51°04'";"08°32'";1100.2;51.07;8.53
"BAUMGARTEN";52;"53°48'";"11°53'";645.0;53.8;11.88
"BAUMHOLDER";468;"49°37'";"07°20'";884.1;49.62;7.33
"BAUNACH";280;"49°59'";"10°50'";735.4;49.98;10.83
"BAYERFELD-STECK.-SCHMAL.";310;"49°41'";"07°50'";573.6;49.68;7.83
"BAYERISCH EISENSTEIN";710;"49°07'";"13°12'";1343.6;49.12;13.2
"BAYERSOIEN,BAD";812;"47°41'";"10°59'";1386.9;47.68;10.98
"BAYERSRIED";710;"47°55'";"10°28'";1224.8;47.92;10.47
"BAYREUTH";330;"49°57'";"11°33'";709.7;49.95;11.55
"BAYRISCHZELL (AKKST)";789;"47°40'";"12°00'";1402.6;47.67;12
"BEBRA-IBA";255;"50°58'";"09°52'";708.0;50.97;9.87
"BECHHOFEN/MFR.-VOGGENDF.";425;"49°09'";"10°35'";706.0;49.15;10.58
"BECKINGEN-DUEPPENWEILER";252;"49°24'";"06°45'";832.1;49.4;6.75
"BECKUM-NEUBECKUM";105;"51°48'";"08°01'";805.1;51.8;8.02
"BECKUM-UNTERBERG";120;"51°43'";"08°03'";767.8;51.72;8.05
"BEDERKESA";27;"53°37'";"08°50'";925.7;53.62;8.83
"BEELITZ";39;"52°14'";"12°58'";529.6;52.23;12.97
"BEERFELDE";64;"52°25'";"14°02'";538.8;52.42;14.03
"BEERFELDEN";450;"49°33'";"08°58'";1101.6;49.55;8.97
"BEERFELDEN-AIRLENBACH";360;"49°35'";"08°55'";1136.8;49.58;8.92
"BEESENLAUBLINGEN";68;"51°42'";"11°41'";472.6;51.7;11.68
"BEESKOW";43;"52°10'";"14°15'";519.4;52.17;14.25
"BEETZENDORF";40;"52°42'";"11°05'";564.4;52.7;11.08
"BEHRINGEN";290;"51°01'";"10°31'";659.8;51.02;10.52
"BEILNGRIES";370;"49°02'";"11°27'";719.0;49.03;11.45
"BELGERN";120;"51°28'";"13°07'";588.7;51.47;13.12
"BELGERSHAIN-ROHRBACH";141;"51°12'";"12°33'";589.6;51.2;12.55
"BELLEBEN-HAUS ZEITZ";120;"51°41'";"11°38'";492.8;51.68;11.63
"BELRIETH";310;"50°31'";"10°29'";653.7;50.52;10.48
"BELSDORF B.BEHNSDORF";135;"52°20'";"11°09'";512.3;52.33;11.15
"BELZIG";80;"52°08'";"12°35'";607.4;52.13;12.58
"BENDELEBEN";193;"51°22'";"11°00'";511.6;51.37;11
"BENDORF";73;"50°25'";"07°33'";658.0;50.42;7.55
"BENEDIKTBEUERN";630;"47°42'";"11°24'";1465.8;47.7;11.4
"BENNIGSEN";85;"52°14'";"09°40'";663.6;52.23;9.67
"BENSDORF-WOLTERSDORF";32;"52°24'";"12°22'";530.3;52.4;12.37
"BENSHAUSEN";440;"50°39'";"10°36'";843.9;50.65;10.6
"BENSHEIM";140;"49°40'";"08°37'";833.7;49.67;8.62
"BENTHE";78;"52°20'";"09°37'";634.7;52.33;9.62
"BENTHEIM,BAD";50;"52°18'";"07°07'";803.6;52.3;7.12
"BENTHULLEN";13;"53°03'";"08°08'";731.4;53.05;8.13
"BERATZHAUSEN";463;"49°06'";"11°47'";777.5;49.1;11.78
"BERCHING";403;"49°06'";"11°26'";760.0;49.1;11.43
"BERCHTESGADEN-OBERSALZB.";930;"47°38'";"13°03'";1651.7;47.63;13.05
"BERGA/ELSTER";225;"50°45'";"12°10'";627.8;50.75;12.17
"BERGE";40;"52°37'";"12°47'";502.8;52.62;12.78
"BERGE/NDS.";38;"52°37'";"07°44'";775.0;52.62;7.73
"BERGEN-NINDORF,KR.CELLE";76;"52°50'";"09°59'";752.7;52.83;9.98
"BERGEN/RUEGEN";75;"54°25'";"13°26'";681.6;54.42;13.43
"BERGISCH GLADB.-REFRATH";67;"50°57'";"07°06'";898.0;50.95;7.1
"BERGLEN-BIRKENWEISSBUCH";402;"48°51'";"09°29'";967.6;48.85;9.48
"BERGNEUSTADT-HUENGRINGH.";375;"51°00'";"07°40'";1247.9;51;7.67
"BERGTHEIM";273;"49°53'";"10°04'";606.2;49.88;10.07
"BERGZABERN,BAD";252;"49°06'";"07°59'";803.8;49.1;7.98
"BERKA";136;"51°41'";"10°06'";653.4;51.68;10.1
"BERKA,BAD";287;"50°54'";"11°16'";658.5;50.9;11.27
"BERKA,BAD (A)";330;"50°53'";"11°16'";670.1;50.88;11.27
"BERKA/WERRA";225;"50°56'";"10°04'";625.8;50.93;10.07
"BERKATAL-FRANKENHAIN";318;"51°14'";"09°53'";869.2;51.23;9.88
"BERLEBURG,BAD";445;"51°02'";"08°23'";1004.4;51.03;8.38
"BERLEBURG,BAD (NST)";470;"51°04'";"08°23'";1133.1;51.07;8.38
"BERLEBURG,BAD-GIRKHAUSEN";510;"51°07'";"08°27'";1152.7;51.12;8.45
"BERLEBURG,BAD-SCHWARZEN.";427;"51°01'";"08°28'";923.4;51.02;8.47
"BERLEBURG,BAD-WINGESHS.";450;"51°04'";"08°17'";1178.5;51.07;8.28
"BERLEBURG,BAD-WUNDERTHS.";543;"51°05'";"08°30'";1154.1;51.08;8.5
"BERLIN (ROSENTHAL)";43;"52°35'";"13°23'";562.0;52.58;13.38
"BERLIN-ALEXANDERP.(AWST)";37;"52°31'";"13°25'";581.7;52.52;13.42
"BERLIN-BUCH";60;"52°37'";"13°30'";564.3;52.62;13.5
"BERLIN-CHARLOTTENBURG";55;"52°31'";"13°16'";600.2;52.52;13.27
"BERLIN-DAHLEM (MET.INST)";58;"52°27'";"13°18'";589.2;52.45;13.3
"BERLIN-FRIEDRICHSFELDE";38;"52°30'";"13°31'";598.6;52.5;13.52
"BERLIN-FROHNAU";48;"52°38'";"13°17'";575.0;52.63;13.28
"BERLIN-JOHANNISTHAL";35;"52°27'";"13°30'";570.0;52.45;13.5
"BERLIN-KARLSHORST";35;"52°29'";"13°31'";562.2;52.48;13.52
"BERLIN-KAULSDORF";39;"52°30'";"13°34'";557.7;52.5;13.57
"BERLIN-KOEPENICK";36;"52°28'";"13°35'";593.9;52.47;13.58
"BERLIN-LICHTENRADE";47;"52°24'";"13°24'";540.6;52.4;13.4
"BERLIN-LICHTERFELDE OST";45;"52°24'";"13°20'";553.0;52.4;13.33
"BERLIN-MALCHOW";53;"52°34'";"13°29'";571.5;52.57;13.48
"BERLIN-MITTE";35;"52°32'";"13°23'";574.4;52.53;13.38
"BERLIN-RUDOW";38;"52°24'";"13°29'";563.8;52.4;13.48
"BERLIN-SCHMOECKWITZ";35;"52°23'";"13°37'";533.8;52.38;13.62
"BERLIN-SCHOEN.(FLUGWEWA)";45;"52°22'";"13°31'";510.0;52.37;13.52
"BERLIN-TEGEL (FLUGWEWA)";36;"52°33'";"13°18'";555.8;52.55;13.3
"BERLIN-TEGELER-FLIESSTAL";36;"52°36'";"13°17'";561.5;52.6;13.28
"BERLIN-TEMP. (FLUGWEWA)";49;"52°28'";"13°24'";583.8;52.47;13.4
"BERLIN-TREPTOW";35;"52°27'";"13°28'";594.7;52.45;13.47
"BERLIN-ZEHLENDORF";45;"52°25'";"13°14'";618.4;52.42;13.23
"BERLINCHEN";75;"53°13'";"12°34'";553.6;53.22;12.57
"BERLINGERODE";230;"51°27'";"10°14'";661.7;51.45;10.23
"BERNAU,KR.ROSENHEIM";522;"47°49'";"12°24'";1483.5;47.82;12.4
"BERNAU-GOLDBACH";928;"47°48'";"08°01'";1918.7;47.8;8.02
"BERNAU-KAISERHAUS";920;"47°48'";"08°02'";1511.9;47.8;8.03
"BERNBRUCH";168;"51°11'";"12°39'";629.6;51.18;12.65
"BERNBURG/SAALE (NORD)";84;"51°49'";"11°42'";469.2;51.82;11.7
"BERNE-KATJENBUETTEL";2;"53°09'";"08°32'";678.8;53.15;8.53
"BERNECK,BAD";363;"50°02'";"11°38'";829.2;50.03;11.63
"BERNHARDSWALD-KUERN";570;"49°07'";"12°13'";789.8;49.12;12.22
"BERNITT";48;"53°54'";"11°53'";606.4;53.9;11.88
"BERNKASTEL";120;"49°55'";"07°04'";706.0;49.92;7.07
"BERNRIED/NDB.-BUCHET";495;"48°55'";"12°55'";1250.4;48.92;12.92
"BERNSDORF, KRS.KAMENZ";145;"51°22'";"14°04'";652.8;51.37;14.07
"BERNSGRUEN";480;"50°34'";"12°03'";660.7;50.57;12.05
"BERSENBRUECK";35;"52°33'";"07°57'";747.5;52.55;7.95
"BERSSEL";134;"51°57'";"10°45'";583.8;51.95;10.75
"BERTHELSDORF";342;"51°03'";"14°13'";819.0;51.05;14.22
"BERUS (AWST)";363;"49°15'";"06°41'";876.0;49.25;6.68
