"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"Temp";"Breite";"Lange"
"AURICH";4;"53°27'";"07°28'";8.4;53.45;7.47
"BADEN-BADEN-GEROLDSAU";240;"48°43'";"08°14'";9.5;48.72;8.23
"BAIERSBRONN-OBERTAL";622;"48°31'";"08°16'";7.2;48.52;8.27
"BAINDT";467;"47°50'";"09°39'";8.6;47.83;9.65
"BAMBERG (WEWA)";239;"49°52'";"10°54'";8.5;49.87;10.9
"BARTH (AWST)";7;"54°20'";"12°43'";8.0;54.33;12.72
"BASSUM";40;"52°51'";"08°41'";8.6;52.85;8.68
"BASSUM (A)";36;"52°50'";"08°43'";8.7;52.83;8.72
"BAYREUTH";330;"49°57'";"11°33'";7.7;49.95;11.55
"BAYRISCHZELL (AKKST)";789;"47°40'";"12°00'";6.6;47.67;12
"BEDERKESA";27;"53°37'";"08°50'";8.5;53.62;8.83
"BEERFELDEN";450;"49°33'";"08°58'";8.0;49.55;8.97
"BENSHEIM";140;"49°40'";"08°37'";10.2;49.67;8.62
"BERGE";40;"52°37'";"12°47'";8.8;52.62;12.78
"BERGZABERN,BAD";252;"49°06'";"07°59'";9.8;49.1;7.98
"BERLEBURG,BAD";445;"51°02'";"08°23'";7.0;51.03;8.38
"BERLEBURG,BAD-STUENZEL";610;"50°59'";"08°22'";6.2;50.98;8.37
"BERLIN-ALEXANDERP.(AWST)";37;"52°31'";"13°25'";9.8;52.52;13.42
"BERLIN-BUCH";60;"52°37'";"13°30'";8.8;52.62;13.5
"BERLIN-DAHLEM (MET.INST)";58;"52°27'";"13°18'";8.9;52.45;13.3
"BERLIN-LICHTENRADE";47;"52°24'";"13°24'";8.9;52.4;13.4
"BERLIN-OSTKREUZ";36;"52°30'";"13°28'";9.7;52.5;13.47
"BERLIN-SCHOEN.(FLUGWEWA)";45;"52°22'";"13°31'";8.7;52.37;13.52
"BERLIN-TEGEL (FLUGWEWA)";36;"52°33'";"13°18'";9.3;52.55;13.3
"BERLIN-TEGELER-FLIESSTAL";36;"52°36'";"13°17'";8.5;52.6;13.28
"BERLIN-TEMP. (FLUGWEWA)";49;"52°28'";"13°24'";9.4;52.47;13.4
"BERLIN-TREPTOW";35;"52°27'";"13°28'";9.1;52.45;13.47
"BERLIN-ZEHLENDORF";45;"52°25'";"13°14'";9.0;52.42;13.23
"BERNBURG/SAALE (NORD)";84;"51°49'";"11°42'";9.2;51.82;11.7
"BERNKASTEL";120;"49°55'";"07°04'";10.1;49.92;7.07
"BERTRICH, BAD";185;"50°04'";"07°01'";8.2;50.07;7.02
"BERUS (AWST)";363;"49°15'";"06°41'";8.8;49.25;6.68
"BIEDENKOPF";290;"50°55'";"08°31'";7.7;50.92;8.52
"BISCHBRUNN";412;"49°52'";"09°29'";7.5;49.87;9.48
"BITTERFELD";80;"51°38'";"12°19'";10.0;51.63;12.32
"BLANKENRATH";417;"50°02'";"07°18'";8.1;50.03;7.3
"BOCHOLT (MARIENSCHULE)";25;"51°50'";"06°36'";9.9;51.83;6.6
"BOCHOLT-LIEDERN (AWST)";21;"51°49'";"06°32'";9.4;51.82;6.53
"BOCHUM";81;"51°30'";"07°13'";10.5;51.5;7.22
"BOEHMING";379;"48°56'";"11°22'";7.6;48.93;11.37
"BOIZENBURG (WEWA)";45;"53°23'";"10°41'";8.3;53.38;10.68
"BOLTENHAGEN (WEWA)";15;"54°00'";"11°11'";8.4;54;11.18
"BONN-FRIESDORF (AWST)";62;"50°42'";"07°08'";10.2;50.7;7.13
"BONNDORF/SCHW.";875;"47°49'";"08°20'";6.8;47.82;8.33
"BORGENTREICH-BUEHNE";240;"51°34'";"09°18'";8.3;51.57;9.3
"BORKUM";5;"53°33'";"06°44'";9.1;53.55;6.73
"BOXBERG-SEEHOF";373;"49°26'";"09°38'";8.3;49.43;9.63
"BRAKE (UNTERWESER)";1;"53°19'";"08°28'";8.8;53.32;8.47
"BRANDE-HOERNERKIRCHEN";9;"53°51'";"09°42'";8.1;53.85;9.7
"BRANDENBURG-GOERDEN";35;"52°24'";"12°33'";8.8;52.4;12.55
"BRAUNLAGE (AWST)";607;"51°43'";"10°36'";5.9;51.72;10.6
"BRAUNLAGE-HOHEGEISS";625;"51°39'";"10°40'";6.1;51.65;10.67
"BRAUNSCHWEIG-VOEL.(WEWA)";88;"52°17'";"10°26'";8.8;52.28;10.43
"BREMEN (FLUGWEWA)";5;"53°02'";"08°47'";8.8;53.03;8.78
"BREMERHAVEN (WEWA)";7;"53°32'";"08°34'";9.0;53.53;8.57
"BREMERVOERDE";5;"53°28'";"09°09'";8.4;53.47;9.15
"BREMERVOERDE-ND.OCHTENH.";5;"53°31'";"09°10'";8.5;53.52;9.17
"BRETTEN";185;"49°01'";"08°42'";9.6;49.02;8.7
"BRILON";472;"51°24'";"08°33'";7.3;51.4;8.55
"BROCKEN (WEWA)";1142;"51°48'";"10°37'";2.9;51.8;10.62
"BROMBACHTAL-KIRCH-BROMB.";290;"49°44'";"08°57'";8.6;49.73;8.95
"BROTTERODE";600;"50°49'";"10°27'";6.3;50.82;10.45
"BRUCKMUEHL-OBERWALL";549;"47°56'";"11°56'";7.8;47.93;11.93
"BRUECKEN";390;"49°37'";"07°06'";7.5;49.62;7.1
"BRUECKENAU,BAD";310;"50°18'";"09°47'";7.8;50.3;9.78
"BUCHEN,KR.NECKAR-ODW.";340;"49°31'";"09°19'";8.1;49.52;9.32
"BUCHHOLZ I.D.NORDHEIDE";77;"53°21'";"09°56'";7.8;53.35;9.93
"BUECKEBURG (BW)";68;"52°17'";"09°05'";9.2;52.28;9.08
"BUEHLERTAL";190;"48°41'";"08°10'";10.2;48.68;8.17
"BUEHLERTAL-OBERTAL";478;"48°40'";"08°10'";9.2;48.67;8.17
"BURGHASLACH";310;"49°44'";"10°36'";8.1;49.73;10.6
"BURGWALD-BOTTENDORF";293;"51°01'";"08°48'";7.4;51.02;8.8
"BUTZBACH-BODENROD";479;"50°23'";"08°32'";7.7;50.38;8.53
"CELLE-WIETZENBRUCH (BW)";39;"52°35'";"10°01'";8.9;52.58;10.02
"CHAM";396;"49°13'";"12°40'";7.9;49.22;12.67
"CHEMNITZ (WEWA)";418;"50°47'";"12°52'";7.9;50.78;12.87
"CLAUSTHAL-ZELLERFELD";566;"51°48'";"10°20'";6.2;51.8;10.33
"COLLMBERG";314;"51°18'";"13°01'";8.0;51.3;13.02
"COTTBUS (WEWA)";69;"51°46'";"14°19'";8.9;51.77;14.32
"CRAILSHEIM-INGERSHEIM";417;"49°07'";"10°04'";8.0;49.12;10.07
"CUXHAVEN (WEWA)";5;"53°52'";"08°42'";8.9;53.87;8.7
"DARMSTADT (BOT.GARTEN)";169;"49°52'";"08°40'";9.2;49.87;8.67
"DARMSTADT (WST)";133;"49°51'";"08°35'";10.0;49.85;8.58
"DAUN";430;"50°11'";"06°49'";7.5;50.18;6.82
"DEUSELBACH (AWST)";480;"49°45'";"07°03'";7.9;49.75;7.05
"DIEPHOLZ(WEWA)";39;"52°35'";"08°20'";8.9;52.58;8.33
"DIETENHOFEN";405;"49°25'";"10°40'";7.7;49.42;10.67
"DILLENBURG";314;"50°43'";"08°15'";7.7;50.72;8.25
"DILLINGEN/DONAU";420;"48°34'";"10°29'";8.3;48.57;10.48
"DOBEL (AKKST)";696;"48°47'";"08°29'";7.4;48.78;8.48
"DOBERLUG-KIRCHHAIN(AWST)";97;"51°38'";"13°34'";8.5;51.63;13.57
"DOEBELN";201;"51°08'";"13°07'";8.8;51.13;13.12
"DOERPEN (SCHLEUSE)";6;"52°59'";"07°21'";8.8;52.98;7.35
"DONAUESCHINGEN";677;"47°56'";"08°30'";7.0;47.93;8.5
"DORTMUND";120;"51°30'";"07°32'";9.6;51.5;7.53
"DRESDEN-KLOTZ.(FLUGWEWA)";227;"51°07'";"13°45'";8.9;51.12;13.75
"DRIBURG,BAD";192;"51°44'";"09°02'";8.3;51.73;9.03
"DUDERSTADT";180;"51°30'";"10°15'";8.3;51.5;10.25
"DUERKHEIM,BAD";107;"49°28'";"08°11'";9.7;49.47;8.18
"DUERRHEIM,BAD";692;"48°00'";"08°32'";6.9;48;8.53
"DUESSELDORF (FLUGWEWA)";37;"51°17'";"06°46'";10.3;51.28;6.77
"DUESSELDORF (SUEDFRIEDH)";37;"51°12'";"06°45'";10.3;51.2;6.75
"DUISBURG-LAAR";21;"51°27'";"06°43'";10.9;51.45;6.72
"EBERBACH/NECKAR";176;"49°27'";"08°58'";8.9;49.45;8.97
"EBERSBERG";572;"48°04'";"11°57'";7.5;48.07;11.95
"EBRACH";346;"49°51'";"10°30'";7.7;49.85;10.5
"EIBERG";470;"48°20'";"12°53'";8.0;48.33;12.88
"EICHSTAETT-LANDERSHOFEN";384;"48°52'";"11°14'";7.9;48.87;11.23
"EIMELDINGEN";264;"47°37'";"07°35'";9.8;47.62;7.58
"EINBECK";123;"51°49'";"09°53'";8.8;51.82;9.88
"EISLEBEN-HELFTA";146;"51°30'";"11°34'";8.5;51.5;11.57
"ELGERSBURG";518;"50°42'";"10°51'";7.2;50.7;10.85
"ELLWANGEN-RINDELBACH";460;"48°59'";"10°07'";7.7;48.98;10.12
"ELSDORF/ERFTKREIS";85;"50°55'";"06°33'";9.8;50.92;6.55
"ELSFLETH";1;"53°14'";"08°27'";8.9;53.23;8.45
"EMDEN-NESSERLAND (WST)";12;"53°20'";"07°11'";9.1;53.33;7.18
"EMDEN-WOLTHUSEN";0;"53°22'";"07°13'";8.8;53.37;7.22
"EMMENDINGEN-MUNDINGEN";201;"48°08'";"07°50'";9.4;48.13;7.83
"EMS,BAD";90;"50°20'";"07°41'";9.7;50.33;7.68
"ENGELSKIRCHEN";144;"50°59'";"07°25'";8.6;50.98;7.42
"ENGEN/HEGAU";540;"47°51'";"08°46'";8.2;47.85;8.77
"ENINGEN (OB.LINDENHOF)";705;"48°28'";"09°18'";6.8;48.47;9.3
"ENZKLOESTERLE";600;"48°40'";"08°28'";6.8;48.67;8.47
"EPPINGEN";210;"49°07'";"08°55'";9.3;49.12;8.92
"ERDINGER MOOS (FLUGWEWA)";443.6;"48°21'";"11°48'";7.8;48.35;11.8
"ERFDE";18;"54°18'";"09°19'";8.3;54.3;9.32
"ERFURT-BIND.(FLUGWEWA)";316;"50°59'";"10°57'";7.9;50.98;10.95
"ERING";340;"48°18'";"13°08'";8.1;48.3;13.13
"ERISKIRCH-MARIABRUNN";408;"47°38'";"09°32'";8.8;47.63;9.53
"ERLANGEN";270;"49°36'";"11°00'";8.6;49.6;11
"ESCHBACH";234;"47°53'";"07°39'";10.1;47.88;7.65
"ESCHENBACH/OPF.";470;"49°45'";"11°49'";7.3;49.75;11.82
"ESCHWEGE";170;"51°11'";"10°03'";8.6;51.18;10.05
"ESENS";3;"53°38'";"07°36'";8.6;53.63;7.6
"ESLOHE";351;"51°15'";"08°09'";7.5;51.25;8.15
"ESSEN-BREDENEY (AWST)";150;"51°24'";"06°58'";9.6;51.4;6.97
"EUTIN";49;"54°08'";"10°35'";8.1;54.13;10.58
"FALKENBERG,KR.ROTTAL-INN";472;"48°29'";"12°43'";8.1;48.48;12.72
"FELDBERG/SCHW. (WEWA)";1486;"47°52'";"08°00'";3.3;47.87;8
"FELDBERG/SCHW.-ALTGLASH.";962;"47°51'";"08°06'";5.0;47.85;8.1
"FICHTELB./OFR-HUETTSTADL";657;"49°58'";"11°50'";5.8;49.97;11.83
"FICHTELBERG (WEWA)";1213;"50°25'";"12°57'";2.9;50.42;12.95
"FLADUNGEN";420;"50°31'";"10°08'";7.2;50.52;10.13
"FLENSBURG";45;"54°48'";"09°25'";8.2;54.8;9.42
"FLENSBURG (SCHAEFERHAUS)";41;"54°46'";"09°22'";7.9;54.77;9.37
"FRAMMERSBACH";260;"50°03'";"09°27'";7.8;50.05;9.45
"FRANKFURT/M. (FLUGWEWA)";112;"50°02'";"08°35'";9.7;50.03;8.58
"FRANKFURT/M. (STADT)";125;"50°08'";"08°40'";9.7;50.13;8.67
"FRANKFURT/M.(PALMENGTN.)";107;"50°07'";"08°39'";10.3;50.12;8.65
"FRANKFURT/ODER";48;"52°21'";"14°32'";8.7;52.35;14.53
"FREIAMT-OTTOSCHWANDEN";481;"48°12'";"07°56'";9.1;48.2;7.93
"FREIBERG";380;"50°55'";"13°20'";7.7;50.92;13.33
"FREIBURG I.BR. (AWST)";236.3;"48°01'";"07°50'";9.7;48.02;7.83
"FREIBURG I.BR.-HERDERN";255;"48°00'";"07°51'";10.4;48;7.85
"FREIBURG/ELBE";2;"53°49'";"09°14'";8.4;53.82;9.23
"FREUDENSTADT (WEWA)";797;"48°27'";"08°24'";6.6;48.45;8.4
"FRIEDENWEILER";928;"47°55'";"08°15'";5.9;47.92;8.25
"FRIEDRICHSBRUNN";523;"51°41'";"11°02'";6.7;51.68;11.03
"FRIEDRICHSHAFEN";394;"47°39'";"09°29'";9.1;47.65;9.48
"FRIESOYTHE-EDEWECHTERDAM";8;"53°05'";"07°56'";8.7;53.08;7.93
"FULDA";255;"50°32'";"09°40'";8.0;50.53;9.67
"GARDELEGEN (WEWA)";47;"52°30'";"11°23'";8.5;52.5;11.38
"GARMISCH-PARTENK. (AWST)";719;"47°29'";"11°03'";6.5;47.48;11.05
"GEISENHEIM (AMBF)";118;"49°59'";"07°57'";9.9;49.98;7.95
"GELDERN-WALBECK";40;"51°30'";"06°14'";10.0;51.5;6.23
"GENTHIN (AWST)";35;"52°23'";"12°09'";8.6;52.38;12.15
"GERA-LEUMNITZ (WEWA)";311;"50°52'";"12°07'";7.8;50.87;12.12
"GERNRODE";210;"51°43'";"11°07'";8.7;51.72;11.12
"GERNSHEIM-ALLMENDFELD";90;"49°45'";"08°31'";10.0;49.75;8.52
"GIESSEN (LAHNTAL)";158;"50°35'";"08°39'";8.7;50.58;8.65
"GIESSEN (WEWA)";186;"50°35'";"08°41'";9.1;50.58;8.68
"GILSERBERG-MOISCHEID";340;"50°57'";"09°03'";7.5;50.95;9.05
"GLUECKSTADT";2;"53°47'";"09°25'";8.5;53.78;9.42
"GOERLITZ (WEWA)";238;"51°09'";"14°57'";8.2;51.15;14.95
"GOESSWEINSTEIN";443;"49°46'";"11°18'";7.6;49.77;11.3
"GOETTINGEN (WEWA)";173;"51°30'";"09°57'";8.7;51.5;9.95
"GOLDBERG (AWST)";58;"53°36'";"12°06'";8.1;53.6;12.1
"GOLLHOFEN";308;"49°34'";"10°11'";8.4;49.57;10.18
"GRAINET-REHBERG";628;"48°47'";"13°37'";6.6;48.78;13.62
"GRAMBEK";27;"53°34'";"10°40'";8.3;53.57;10.67
"GREBENHAIN-HERCHENHAIN";608;"50°28'";"09°15'";6.4;50.47;9.25
"GREIFSWALD (WEWA)";6;"54°05'";"13°24'";8.1;54.08;13.4
"GREIFSWALD-WIECK";2;"54°06'";"13°27'";8.0;54.1;13.45
"GREVEN (FLUGWEWA)";48;"52°08'";"07°41'";8.9;52.13;7.68
"GROSS LUESEWITZ";40;"54°04'";"12°20'";7.8;54.07;12.33
"GROSSENKNETEN-AHLHORN";42;"52°55'";"08°13'";8.7;52.92;8.22
"GROSSER ARBER (WEWA)";1436;"49°06'";"13°08'";2.7;49.1;13.13
"GROSSER INSELSBERG";913;"50°51'";"10°28'";4.4;50.85;10.47
"GRUENOW (AWST)";55;"53°19'";"13°56'";7.9;53.32;13.93
"GRUND,BAD";300;"51°47'";"10°14'";7.4;51.78;10.23
"GSCHWEND,KR.OSTALB";492;"48°56'";"09°44'";7.7;48.93;9.73
"GUETERSLOH";72;"51°53'";"08°21'";9.2;51.88;8.35
"GUNZENHAUSEN(ALTMUEHLS.)";413;"49°07'";"10°44'";7.6;49.12;10.73
"HAGEN-FLEY";100;"51°24'";"07°29'";9.5;51.4;7.48
"HAHNENKLEE (KKST)";567;"51°51'";"10°20'";6.1;51.85;10.33
"HALLE-KROELLWITZ (AWST)";93;"51°30'";"11°57'";9.1;51.5;11.95
"HALLE-STADT";104;"51°29'";"11°59'";9.7;51.48;11.98
"HAMBURG-FUHLS.(FLUGWEWA)";11;"53°38'";"09°59'";8.6;53.63;9.98
"HAMBURG-KIRCHWERDER";2;"53°25'";"10°08'";8.7;53.42;10.13
"HAMBURG-NEUWIEDENTHAL";3;"53°28'";"09°53'";9.0;53.47;9.88
"HAMBURG-REITBROOK";1;"53°28'";"10°10'";8.7;53.47;10.17
"HAMBURG-ST.PAULI (SWA)";22;"53°33'";"09°58'";9.4;53.55;9.97
"HAMBURG-WANDSBEK";18;"53°35'";"10°07'";9.0;53.58;10.12
"HAMELN";66;"52°07'";"09°19'";9.2;52.12;9.32
"HANKENSBUETTEL";79;"52°44'";"10°37'";8.2;52.73;10.62
"HANNOVER-LANG.(FLUGWEWA)";59;"52°27'";"09°40'";8.9;52.45;9.67
"HARZBURG,BAD";269;"51°53'";"10°32'";8.5;51.88;10.53
"HARZGERODE (AWST)";404;"51°39'";"11°08'";6.8;51.65;11.13
"HECHINGEN";522;"48°22'";"08°58'";8.3;48.37;8.97
"HEIDE/HOLSTEIN";12;"54°12'";"09°06'";8.3;54.2;9.1
"HEIDELBERG";111;"49°25'";"08°39'";10.6;49.42;8.65
"HEIDENHEIM/BRENZ";500;"48°40'";"10°07'";6.8;48.67;10.12
"HEIDENROD-MAPPERSHAIN";496;"50°10'";"07°59'";7.7;50.17;7.98
"HEILBRONN";167;"49°08'";"09°14'";9.8;49.13;9.23
"HEINSBERG-SCHLEIDEN";57;"51°02'";"06°06'";9.8;51.03;6.1
"HELGOLAND (WEWA)";4;"54°10'";"07°53'";9.1;54.17;7.88
"HELMSTEDT";140;"52°13'";"11°01'";8.9;52.22;11.02
"HELSE,KR.DITHMARSCHEN";2;"53°58'";"09°00'";8.2;53.97;9
"HERFORD";77;"52°07'";"08°41'";9.3;52.12;8.68
"HERLESHAUSEN";215;"51°00'";"10°10'";8.4;51;10.17
"HERRENALB,BAD";350;"48°48'";"08°26'";8.5;48.8;8.43
"HERRENBERG";430;"48°35'";"08°51'";8.2;48.58;8.85
"HERRNHUT";344;"51°01'";"14°45'";7.7;51.02;14.75
"HERSDORF-WEISSENSEIFEN";530;"50°09'";"06°33'";6.9;50.15;6.55
"HERSFELD,BAD (WEWA)";272;"50°51'";"09°44'";8.7;50.85;9.73
"HERTEN";60;"51°35'";"07°09'";9.5;51.58;7.15
"HILDESHEIM";117;"52°08'";"09°53'";8.9;52.13;9.88
"HILGENROTH";295;"50°44'";"07°39'";8.5;50.73;7.65
"HINDELANG-UNTERJ.(AKKST)";1053;"47°32'";"10°26'";5.9;47.53;10.43
"HINTERZARTEN";883;"47°53'";"08°06'";5.6;47.88;8.1
"HOECHENSCHWAND (AKKST)";1008;"47°44'";"08°09'";6.1;47.73;8.15
"HOELLENSTEIN-KRAFTWERK";403;"49°07'";"12°51'";6.7;49.12;12.85
"HOF (STADT)";474;"50°19'";"11°54'";6.9;50.32;11.9
"HOF-HOHENSAAS (WEWA)";567;"50°18'";"11°52'";6.4;50.3;11.87
"HOFGEISMAR-BEBERBECK";242;"51°32'";"09°28'";7.7;51.53;9.47
"HOFHEIM/UFR.";262;"50°08'";"10°31'";8.4;50.13;10.52
"HOHENPEISSENBERG (OBS)";977;"47°48'";"11°00'";6.5;47.8;11
"HOHENWESTEDT";80;"54°07'";"09°42'";7.8;54.12;9.7
"HOHN (BW)";17;"54°18'";"09°32'";8.0;54.3;9.53
"HOHWACHT";10;"54°19'";"10°40'";8.4;54.32;10.67
"HOLZKIRCHEN";685;"47°53'";"11°41'";6.9;47.88;11.68
"HOLZMINDEN";128;"51°49'";"09°27'";8.9;51.82;9.45
"HOLZMINDEN-SILBERBORN";440;"51°46'";"09°32'";6.9;51.77;9.53
"HOMBERG (OHM)";250;"50°43'";"09°00'";8.1;50.72;9
"HOMBURG/SAAR";235;"49°19'";"07°21'";8.9;49.32;7.35
"HORNISGRINDE";1125;"48°36'";"08°12'";4.8;48.6;8.2
"HOTTINGEN";712;"47°37'";"08°01'";7.6;47.62;8.02
"HUELL";438;"48°36'";"11°40'";7.6;48.6;11.67
"HUEMMERICH";328;"50°33'";"07°29'";8.2;50.55;7.48
"HUSUM";3;"54°28'";"09°03'";8.2;54.47;9.05
"HUSUM (WST)";37;"54°31'";"09°08'";7.8;54.52;9.13
"INGELFINGEN";209;"49°17'";"09°39'";9.1;49.28;9.65
"ISERLOHN-WESTIG";230;"51°22'";"07°45'";8.9;51.37;7.75
"ISNY";712;"47°41'";"10°02'";6.8;47.68;10.03
"JENA (STERNWARTE)";155;"50°55'";"11°35'";9.3;50.92;11.58
"JESSEN/ELSTER";77;"51°47'";"12°57'";9.2;51.78;12.95
"JEVER (BW)";7;"53°32'";"07°54'";8.6;53.53;7.9
"JORK";1;"53°31'";"09°40'";8.6;53.52;9.67
"JUELICH (KERNF.-ANLAGE)";91;"50°54'";"06°24'";9.6;50.9;6.4
"JUETERBOG";75;"52°00'";"13°06'";8.7;52;13.1
"JUNGHOLZ (KUEHMOOS)";728;"47°35'";"07°57'";6.9;47.58;7.95
"KAHL/MAIN";107;"50°03'";"08°59'";9.6;50.05;8.98
"KAHLER ASTEN (WEWA)";839;"51°10'";"08°29'";4.9;51.17;8.48
"KAISERSLAUTERN";270;"49°25'";"07°44'";9.4;49.42;7.73
"KAISHEIM-NEUHOF";516;"48°46'";"10°47'";7.5;48.77;10.78
"KALL-SISTIG";505;"50°30'";"06°31'";7.3;50.5;6.52
"KALTENNORDHEIM (AWST)";487;"50°37'";"10°08'";6.7;50.62;10.13
"KARLSHULD";374;"48°40'";"11°17'";7.8;48.67;11.28
"KARLSRUHE (WEWA)";112;"49°02'";"08°21'";10.3;49.03;8.35
"KASSEL (AWST)";231;"51°17'";"09°26'";8.5;51.28;9.43
"KASSEL-HARLESHAUSEN";198;"51°20'";"09°27'";8.8;51.33;9.45
"KASSEL-WILHELMSHOEHE (A)";283;"51°19'";"09°24'";8.1;51.32;9.4
"KAUFBEUREN";716;"47°51'";"10°36'";7.2;47.85;10.6
"KAUFERING";585;"48°05'";"10°51'";7.4;48.08;10.85
"KEMPTEN (WEWA)";705;"47°43'";"10°20'";6.9;47.72;10.33
"KIEL-HOLTENAU (BW)";27;"54°22'";"10°08'";8.5;54.37;10.13
"KIEL-KRONSHAGEN (WST)";4;"54°20'";"10°05'";8.3;54.33;10.08
"KISSINGEN,BAD (WEWA)";282;"50°13'";"10°04'";8.6;50.22;10.07
"KITZINGEN";188;"49°44'";"10°10'";9.2;49.73;10.17
"KL.FELDBERG/TS. (AWST)";805;"50°13'";"08°26'";5.6;50.22;8.43
"KLEIN ROENNAU,KR.SEGEBG.";40;"53°57'";"10°19'";8.0;53.95;10.32
"KLEVE";46;"51°45'";"06°05'";9.6;51.75;6.08
"KLIPPENECK (AWST)";973;"48°06'";"08°45'";6.2;48.1;8.75
"KOBLENZ-HORCHHEIM";85;"50°20'";"07°36'";10.4;50.33;7.6
"KOELN (BOTAN.GARTEN)";45;"50°57'";"06°58'";10.4;50.95;6.97
"KOELN-WAHN (FLUGWEWA)";92;"50°51'";"07°09'";9.6;50.85;7.15
"KOENIGSFELD/SCHW.";754;"48°08'";"08°25'";6.6;48.13;8.42
"KOENIGSHOFEN,BAD";288;"50°17'";"10°26'";8.1;50.28;10.43
"KOENIGSTEIN/TS.";380;"50°11'";"08°28'";8.4;50.18;8.47
"KOESCHING";417;"48°49'";"11°29'";7.8;48.82;11.48
"KOETHEN (ANHALT)";76;"51°45'";"12°00'";9.0;51.75;12
"KOHLGRUB,BAD";850;"47°40'";"11°02'";6.9;47.67;11.03
"KONSTANZ (WEWA)";443;"47°40'";"09°11'";9.2;47.67;9.18
"KONSTANZ/STADT";398;"47°39'";"09°09'";8.9;47.65;9.15
"KREUTH (AKKST)";776;"47°38'";"11°44'";6.5;47.63;11.73
"KREUZNACH, BAD";102;"49°51'";"07°52'";9.5;49.85;7.87
"KRONACH";306;"50°14'";"11°19'";8.2;50.23;11.32
"KRUMBACH-EDENHAUSEN";520;"48°15'";"10°25'";7.7;48.25;10.42
"KULMBACH";330;"50°06'";"11°27'";7.9;50.1;11.45
"KUMHAUSEN";436;"48°30'";"12°09'";8.1;48.5;12.15
"KUSEL (FUENFBIRKEN)";296;"49°33'";"07°24'";7.9;49.55;7.4
"LAHR (WEWA)";155;"48°22'";"07°49'";10.5;48.37;7.82
"LAICHINGEN";747;"48°29'";"09°42'";6.7;48.48;9.7
"LANGEOOG";5;"53°44'";"07°28'";8.7;53.73;7.47
"LAUCHSTAEDT,BAD";119;"51°23'";"11°52'";8.9;51.38;11.87
"LAUDA-KOEN.-GERLACHSHEIM";199;"49°34'";"09°42'";9.0;49.57;9.7
"LAUTERBERG,BAD (A)";300;"51°38'";"10°28'";7.5;51.63;10.47
"LAUTERTAL-OBERLAU.(AWST)";344.5;"50°18'";"10°58'";8.1;50.3;10.97
"LECK (AWST)";7;"54°47'";"08°56'";7.9;54.78;8.93
"LEHBECK";9;"54°44'";"09°52'";8.2;54.73;9.87
"LEIBLFING";365;"48°45'";"12°30'";7.8;48.75;12.5
"LEINAU";663;"47°54'";"10°36'";6.8;47.9;10.6
"LEINEFELDE (WEWA)";356;"51°23'";"10°18'";7.5;51.38;10.3
